Latitude-longitude information,Name 
-25.7582464 -53.0526732,Escritório Contábil Mezzalira
-25.7475579 -53.0534774,Panificadora Damársi
-25.7540744 -53.0482388,Caseiros da Tete
-25.7500291 -53.0550785,Livraria Globo
-25.7495657 -53.0525933,Terminal Rodoviario de Dois Vizinhos
-25.7486997 -53.05123099999999,Deco Veículos
-25.7574809 -53.04954000000001,Firenze Veículos
-25.7503197 -53.0551244,Detroit Pneus Auto Center
-25.75051119999999 -53.05378589999999,Doctor Motos
-25.75091660000001 -53.0548235,Studio Car - chapeação e pintura
-25.749295 -53.0519129,Igreja do Evangelho Quadrangular
-25.7571568 -53.0545743,Igreja Evangélica Pentecostal Fonte da Vida
-25.7496722 -53.05362479999999,Prefeitura Municipal de Dois Vizinhos
-25.7495596 -53.0540475,Prefeitura Municipal de Dois Vizinhos
-25.7486486 -53.0516203,Departamento Municipal de Cultura de Dois Vizinhos
-25.7493374 -53.0526511,Lojas Catarinense
-25.7469712 -53.0541847,Consultório de Ortodontia e Odontopediatria
-25.7475606 -53.0530931,Consultório Odontológico Dr Cézar Luis Sabadin
-25.7499718 -53.0549772,Odontologia Dr Jean Henrique Abati
-25.7499789 -53.0549195,Clínica Innova Odontologia e Estética Avançada
-25.7499425 -53.054195,Odontologia Gehlen
-25.7493661 -53.0525683,Magazine Luiza
-25.7477507 -53.05281770000001,|Alberton, Abreu & Cia|
-25.7474316 -53.05330130000001,drogamais Dois Vizinhos
-25.7478749 -53.053219,Farmacia Sao Joao Center
-25.7477523 -53.0528176,Farmácia Brasil Poupa Lar
-25.7498902 -53.0540797,Farmácia e Laboratório Pró-Saúde Verê
-25.748886 -53.05282020000001,Carnieletto & Colferai Ltda Me
-25.7489344 -53.0527829,Farmácia Brasil
-25.750231 -53.05488499999999,Matheus Foto Color
-25.7497883 -53.052905,Lojas Benoit
-25.7480284 -53.0530838,Romera
-25.750315 -53.055539,Foks Print Cartuchos e Informática
-25.7488749 -53.0527489,Brandt'F Informática
-25.7493135 -53.05296669999999,Movegil Rede Tok Lar
-25.7498533 -53.053772,Colchões Ortobom
-25.7494691 -53.05204349999999,LubriVizi Super troca de oléo
-25.7494484 -53.05267679999999,Cabelereiro E Barbearia Leo Junior E Leonardo
-25.7499916 -53.0509938,Lisboa Barber Shop (Barbearia)
-25.7503093 -53.0552326,SB Espaço Casa - Arquitetura e Decoração - Sara Bevilaqua
-25.7479123 -53.0552973,Velas Dois Vizinhos
-25.7485541 -53.05044239999999,Hospital São Judas Tadeu
-25.7497183 -53.0505548,ViziClean Higienização - Limpeza e Impermeabilização de Estofados
-25.7485846 -53.05407599999999,Advocacia Ascari (Dr. Nivaldo Ascari)
-25.74870169999999 -53.0515693,CMUTRAN
-25.7481807 -53.0539003,Registro de imoveis
-25.7482041 -53.0538321,Serviço de Registro de Imóveis Dois Vizinhos
-25.7470104 -53.0540925,República Álcool-Íris
-25.7501277 -53.0533509,Hotel Central S
-25.7498256 -53.0527136,HOTEL SILVER GOLD
-25.7576991 -53.050541,Kiss-Me Motel
-25.7563831 -53.04901419999999,Pensão iberia 2
-25.7480029 -53.05275049999999,McDavis Lanche Prensado Dogão
-25.74950949999999 -53.0527941,Lanchonete Sobradinho
-25.7580645 -53.0522734,Transar Transporte
-25.7512637 -53.0552909,Mini Floresta
-25.7569117 -53.0525413,Praça Genuir Zotti
-25.7505073 -53.053551,Agropecuaria
-25.7483333 -53.0521703,Farma & Farma Popular Dois Vizinhos
-25.7496213 -53.05289010000001,Norte Sul Empreendimentos
-25.756186 -53.054931,Amo Você Karolina Alberton
-25.756932 -53.05579290000001,Schimit Imóveis em Dois Vizinhos PR
-25.7500346 -53.0555629,Hospital Do Calcado
-25.7506363 -53.0539739,Bino Calçados Sports
-25.747355 -53.0537625,Neuro Materiais de Construção
-25.7494528 -53.0531732,No Ponto Supermercados
-25.7503683 -53.0529436,Italo Supermercados
-25.7499154 -53.0521226,Italo Supermercados
